序号,名称,朝代,最早朝代,朝代排序值,地址,地市,区县,类型,批次,编号,年度,访古等级
1,平型关战役遗址,1937年,近现代,1937,山西省繁峙县,忻州市,繁峙县,近现代/革命史迹,第一批,25,1961,可选
2,八路军总司令部旧址,1938年,近现代,1938,山西省武乡县,长治市,武乡县,近现代/革命史迹,第一批,26,1961,可选
3,云冈石窟,北魏,北魏,386,山西省大同市,大同市,,石窟寺及石刻,第一批,34,1961,必去
4,佛宫寺释迦塔（应县木塔）,辽,辽,916,山西省应县,朔州市,应县,古建筑,第一批,71,1961,必去
5,南禅寺大殿,唐,唐,618,山西省五台县,忻州市,五台县,古建筑,第一批,79,1961,必去
6,佛光寺,唐至清,唐,618,山西省五台县,忻州市,五台县,古建筑,第一批,80,1961,必去
7,晋祠,宋,宋,960,山西省太原市,太原市,,古建筑,第一批,85,1961,必去
8,善化寺,辽、金,辽,916,山西省大同市,大同市,,古建筑,第一批,88,1961,必去
9,华严寺,辽、金、清,辽,916,山西省大同市,大同市,,古建筑,第一批,91,1961,必去
10,永乐宫,元,元,1271,山西省芮城县,运城市,芮城县,古建筑,第一批,93,1961,必去
11,广胜寺,元、明,元,1271,山西省洪洞县,临汾市,洪洞县,古建筑,第一批,96,1961,必去
12,丁村遗址,旧石器时代,旧石器时代,-10000,山西省临汾县,临汾市,临汾县,古遗址,第一批,137,1961,可选
13,侯马晋国遗址,东周,东周,-770,山西省侯马市,临汾市,侯马市,古遗址,第一批,146,1961,可选
14,白求恩模范病室旧址,1938年,近现代,1938,山西省五台县,忻州市,五台县,近现代/革命史迹,第二批,7,1982,可选
15,岩山寺,金,金,1115,山西省繁峙县,忻州市,繁峙县,古建筑,第二批,23,1982,推荐
16,显通寺,明至清,明,1368,山西省五台县,忻州市,五台县,古建筑,第二批,26,1982,推荐
17,悬空寺,明,明,1368,山西省浑源县,大同市,浑源县,古建筑,第二批,30,1982,必去
18,平遥城墙,明,明,1368,山西省平遥县,晋中市,平遥县,古建筑,第三批,60,1988,必去
19,丁村民宅,明至清,明,1368,山西省襄汾县,临汾市,襄汾县,古建筑,第三批,87,1988,推荐
20,法兴寺,唐,唐,618,山西省长子县,长治市,长子县,古建筑,第三批,106,1988,推荐
21,天台庵,唐,唐,618,山西省平顺县,长治市,平顺县,古建筑,第三批,107,1988,必去
22,青莲寺,唐至清,唐,618,山西省晋城市,晋城市,,古建筑,第三批,110,1988,推荐
23,镇国寺,五代至清,五代,907,山西省平遥县,晋中市,平遥县,古建筑,第三批,111,1988,必去
24,大云院,五代至清,五代,907,山西省平顺县,长治市,平顺县,古建筑,第三批,112,1988,必去
25,玉皇庙,宋至清,宋,960,山西省晋城市,晋城市,,古建筑,第三批,113,1988,推荐
26,崇福寺,金,金,1115,山西省朔县,朔州市,朔县,古建筑,第三批,117,1988,必去
27,双林寺,明,明,1368,山西省平遥县,晋中市,平遥县,古建筑,第三批,120,1988,必去
28,万荣东岳庙,元至清,元,1271,山西省万荣县,运城市,万荣县,古建筑,第三批,129,1988,推荐
29,解州关帝庙,清,清,1644,山西省运城市,运城市,,古建筑,第三批,130,1988,推荐
30,西侯度遗址,旧石器时代,旧石器时代,-10000,山西省芮城县,运城市,芮城县,古遗址,第三批,182,1988,可选
31,陶寺遗址,新石器时代,新石器时代,-5000,山西省襄汾县,临汾市,襄汾县,古遗址,第三批,192,1988,可选
32,禹王城遗址,东周至汉,东周,-770,山西省夏县,运城市,夏县,古遗址,第三批,205,1988,可选
33,平城遗址,北魏,北魏,386,山西省大同市,大同市,,古遗址,第三批,215,1988,可选
34,广武汉墓群,汉,汉,-206,山西省山阴县,朔州市,山阴县,古墓葬,第三批,236,1988,可选
35,司马光墓,北宋,北宋,960,山西省夏县,运城市,夏县,古墓葬,第三批,246,1988,可选
36,许家窑－侯家窑遗址,旧石器时代,旧石器时代,-10000,山西省阳高县,大同市,阳高县,古遗址,第四批,2,1996,可选
37,西阴村遗址,新石器时代,新石器时代,-5000,山西省夏县,运城市,夏县,古遗址,第四批,5,1996,可选
38,旌介遗址,商,商,-1600,山西省灵石县,晋中市,灵石县,古遗址,第四批,24,1996,可选
39,曲村－天马遗址,周,周,-1046,山西省曲沃县,临汾市,曲沃县,古遗址,第四批,26,1996,可选
40,龙门寺,五代至清,五代,907,山西省平顺县,长治市,平顺县,古建筑,第四批,92,1996,必去
41,晋城二仙庙,宋,宋,960,山西省晋城市,晋城市,,古建筑,第四批,97,1996,小众
42,崇庆寺,宋,宋,960,山西省长子县,长治市,长子县,古建筑,第四批,98,1996,推荐
43,关王庙,宋,宋,960,山西省阳泉市,阳泉市,,古建筑,第四批,99,1996,小众
44,则天庙,金,金,1115,山西省文水县,吕梁市,文水县,古建筑,第四批,100,1996,小众
45,南、北吉祥寺,宋至清,宋,960,山西省陵川县,晋城市,陵川县,古建筑,第四批,101,1996,小众
46,姬氏民居,元,元,1271,山西省高平市,晋城市,高平市,古建筑,第四批,115,1996,推荐
47,牛王庙戏台,元,元,1271,山西省临汾市,临汾市,,古建筑,第四批,116,1996,小众
48,绛州大堂,元,元,1271,山西省新绛县,运城市,新绛县,古建筑,第四批,117,1996,小众
49,榆次城隍庙,元至清,元,1271,山西省榆次市,晋中市,榆次市,古建筑,第四批,118,1996,小众
50,霍州州署大堂,元,元,1271,山西省霍州市,临汾市,霍州市,古建筑,第四批,119,1996,小众
51,千佛庵,明,明,1368,山西省隰县,临汾市,隰县,古建筑,第四批,134,1996,小众
52,万荣后土庙,清,清,1644,山西省万荣县,运城市,万荣县,古建筑,第四批,167,1996,小众
53,袄神楼,清,清,1644,山西省介休市,晋中市,介休市,古建筑,第四批,168,1996,小众
54,龙山石窟,元,元,1271,山西省太原市,太原市,,石窟寺及石刻,第四批,192,1996,小众
55,晋绥边区政府及军区司令部旧址,1939年,近现代,1939,山西省兴县,吕梁市,兴县,近现代/革命史迹,第四批,241,1996,可选
56,八路军前方总部旧址,1941-1943年,近现代,1941,山西省左权县,晋中市,左权县,近现代/革命史迹,第四批,243,1996,可选
57,柿子滩遗址,旧石器时代,旧石器时代,-10000,山西省吉县,临汾市,吉县,古遗址,第五批,8,2001,可选
58,东下冯遗址,新石器时代至商,新石器时代,-5000,山西省夏县,运城市,夏县,古遗址,第五批,9,2001,可选
59,晋阳古城遗址,春秋至五代,春秋,-770,山西省太原市,太原市,,古遗址,第五批,10,2001,可选
60,蒲津渡与蒲州故城遗址,唐至明,唐,618,山西省永济市,运城市,永济市,古遗址,第五批,11,2001,可选
61,曲回寺石像冢,唐,唐,618,山西省灵丘县,大同市,灵丘县,古遗址,第五批,12,2001,可选
62,马茂庄墓群,东汉,东汉,25,山西省离石市,吕梁市,离石市,古墓葬,第五批,151,2001,可选
63,方山永固陵,北魏,北魏,386,山西省大同市,大同市,,古墓葬,第五批,152,2001,可选
64,马村砖雕墓,宋、金,宋,960,山西省稷山县,运城市,稷山县,古墓葬,第五批,153,2001,可选
65,万荣稷王庙,金,金,1115,山西省万荣县,运城市,万荣县,古建筑,第五批,224,2001,小众
66,大同九龙壁,明,明,1368,山西省大同市,大同市,,古建筑,第五批,225,2001,小众
67,广济寺大雄宝殿,元,元,1271,山西省五台县,忻州市,五台县,古建筑,第五批,226,2001,小众
68,介休后土庙,明、清,明,1368,山西省介休市,晋中市,介休市,古建筑,第五批,227,2001,小众
69,正觉寺,金至明,金,1115,山西省长治县,长治市,长治县,古建筑,第五批,228,2001,小众
70,龙岩寺,金、明,金,1115,山西省陵川县,晋城市,陵川县,古建筑,第五批,229,2001,小众
71,荆庄大云寺大雄宝殿,金,金,1115,山西省浑源县,大同市,浑源县,古建筑,第五批,230,2001,小众
72,窦大夫祠,元至清,元,1271,山西省太原市,太原市,,古建筑,第五批,231,2001,小众
73,观音堂,明,明,1368,山西省长治市,长治市,,古建筑,第五批,232,2001,小众
74,潞安府城隍庙,元至清,元,1271,山西省长治市,长治市,,古建筑,第五批,233,2001,小众
75,阿育王塔,元,元,1271,山西省代县,忻州市,代县,古建筑,第五批,234,2001,小众
76,边靖楼,明,明,1368,山西省代县,忻州市,代县,古建筑,第五批,235,2001,小众
77,淳化寺,金,金,1115,山西省平顺县,长治市,平顺县,古建筑,第五批,236,2001,小众
78,明惠大师塔,五代,五代,907,山西省平顺县,长治市,平顺县,古建筑,第五批,237,2001,推荐
79,九天圣母庙,北宋至清,北宋,960,山西省平顺县,长治市,平顺县,古建筑,第五批,238,2001,推荐
80,慈相寺,北宋至清,北宋,960,山西省平遥县,晋中市,平遥县,古建筑,第五批,239,2001,推荐
81,平遥文庙,金至清,金,1115,山西省平遥县,晋中市,平遥县,古建筑,第五批,240,2001,推荐
82,兴东垣东岳庙,金至清,金,1115,山西省石楼县,吕梁市,石楼县,古建筑,第五批,241,2001,小众
83,大悲院,宋、金,宋,960,山西省曲沃县,临汾市,曲沃县,古建筑,第五批,242,2001,小众
84,太符观,金至清,金,1115,山西省汾阳市,吕梁市,汾阳市,古建筑,第五批,243,2001,小众
85,沁县大云院,宋至清,宋,960,山西省沁县,长治市,沁县,古建筑,第五批,244,2001,必去
86,觉山寺塔,辽,辽,916,山西省灵丘县,大同市,灵丘县,古建筑,第五批,245,2001,推荐
87,资寿寺,明,明,1368,山西省灵石县,晋中市,灵石县,古建筑,第五批,246,2001,小众
88,清凉寺,元,元,1271,山西省芮城县,运城市,芮城县,古建筑,第五批,247,2001,小众
89,广仁王庙,唐,唐,618,山西省芮城县,运城市,芮城县,古建筑,第五批,248,2001,必去
90,芮城城隍庙,北宋至清,北宋,960,山西省芮城县,运城市,芮城县,古建筑,第五批,249,2001,推荐
91,泛舟禅师塔,唐,唐,618,山西省运城市,运城市,,古建筑,第五批,250,2001,推荐
92,洪福寺,金,金,1115,山西省定襄县,忻州市,定襄县,古建筑,第五批,251,2001,小众
93,洪济院,金至清,金,1115,山西省武乡县,长治市,武乡县,古建筑,第五批,252,2001,小众
94,武乡县大云寺,宋至清,宋,960,山西省武乡县,长治市,武乡县,古建筑,第五批,253,2001,小众
95,会仙观,金至清,金,1115,山西省武乡县,长治市,武乡县,古建筑,第五批,254,2001,小众
96,大王庙,金至明,金,1115,山西省盂县,阳泉市,盂县,古建筑,第五批,255,2001,小众
97,临晋县衙,元至近代,元,1271,山西省临猗县,运城市,临猗县,古建筑,第五批,256,2001,小众
98,香严寺,金至明,金,1115,山西省柳林县,吕梁市,柳林县,古建筑,第五批,257,2001,小众
99,洪洞玉皇庙,元,元,1271,山西省洪洞县,临汾市,洪洞县,古建筑,第五批,258,2001,推荐
100,浑源永安寺,元,元,1271,山西省浑源县,大同市,浑源县,古建筑,第五批,259,2001,小众
101,太阴寺,金,金,1115,山西省绛县,运城市,绛县,古建筑,第五批,260,2001,小众
102,三峻庙,金至清,金,1115,山西省壶关县,长治市,壶关县,古建筑,第五批,261,2001,小众
103,乔家大院,清,清,1644,山西省祁县,晋中市,祁县,古建筑,第五批,262,2001,推荐
104,泽州岱庙,宋至明,宋,960,山西省泽州县,晋城市,泽州县,古建筑,第五批,263,2001,小众
105,安国寺,明,明,1368,山西省离石市,吕梁市,离石市,古建筑,第五批,264,2001,小众
106,小会岭二仙庙,北宋至清,北宋,960,山西省陵川县,晋城市,陵川县,古建筑,第五批,265,2001,推荐
107,崔府君庙,金至清,金,1115,山西省陵川县,晋城市,陵川县,古建筑,第五批,266,2001,小众
108,西溪二仙庙,金至清,金,1115,山西省陵川县,晋城市,陵川县,古建筑,第五批,267,2001,小众
109,崇明寺,北宋至明,北宋,960,山西省高平市,晋城市,高平市,古建筑,第五批,268,2001,推荐
110,开化寺,北宋至清,北宋,960,山西省高平市,晋城市,高平市,古建筑,第五批,269,2001,推荐
111,游仙寺,北宋至清,北宋,960,山西省高平市,晋城市,高平市,古建筑,第五批,270,2001,推荐
112,定林寺,元至清,元,1271,山西省高平市,晋城市,高平市,古建筑,第五批,271,2001,小众
113,福胜寺,元、明,元,1271,山西省新绛县,运城市,新绛县,古建筑,第五批,272,2001,小众
114,稷益庙,明,明,1368,山西省新绛县,运城市,新绛县,古建筑,第五批,273,2001,小众
115,柏山东岳庙,元至清,元,1271,山西省蒲县,临汾市,蒲县,古建筑,第五批,274,2001,小众
116,青龙寺,元,元,1271,山西省稷山县,运城市,稷山县,古建筑,第五批,275,2001,小众
117,原起寺,宋,宋,960,山西省潞城市,长治市,潞城市,古建筑,第五批,276,2001,小众
118,长城（雁门关段等）,春秋至明,春秋,-770,山西省代县等,忻州市,代县等,古建筑,第五批,442,2001,小众
119,天龙山石窟,东魏至唐,唐,618,山西省太原市,太原市,,石窟寺及石刻,第五批,445,2001,必去
120,塔水河遗址,旧石器时代,旧石器时代,-10000,山西省陵川县,晋城市,陵川县,古遗址,第六批,21,2006,可选
121,上郭城址和邱家庄墓群,周至汉,周,-1046,山西省闻喜县,运城市,闻喜县,古遗址,第六批,22,2006,可选
122,南村城址,战国至晋,战国,-475,山西省方山县,吕梁市,方山县,古遗址,第六批,23,2006,可选
123,黄河栈道遗址,汉至清,汉,-206,山西省平陆县,运城市,平陆县,古遗址,第六批,24,2006,可选
124,霍州窑址,宋至元,宋,960,山西省霍州市,临汾市,霍州市,古遗址,第六批,25,2006,可选
125,洪山窑址,宋至清,宋,960,山西省介休市,晋中市,介休市,古遗址,第六批,26,2006,可选
126,崔家河墓群,周,周,-1046,山西省夏县,运城市,夏县,古墓葬,第六批,230,2006,可选
127,沙梁坡墓群,汉,汉,-206,山西省天镇县,大同市,天镇县,古墓葬,第六批,231,2006,可选
128,古城堡墓群,汉,汉,-206,山西省阳高县,大同市,阳高县,古墓葬,第六批,232,2006,可选
129,王家峰墓群,南北朝,南北朝,420,山西省太原市,太原市,,古墓葬,第六批,233,2006,可选
130,什贴墓群,南北朝,南北朝,420,山西省晋中市,晋中市,,古墓葬,第六批,234,2006,可选
131,栗毓美墓,清,清,1644,山西省浑源县,大同市,浑源县,古墓葬,第六批,235,2006,可选
132,老君洞,唐至明,唐,618,山西省浮山县,临汾市,浮山县,古建筑,第六批,355,2006,推荐
133,卦山天宁寺,唐至清,唐,618,山西省交城县,吕梁市,交城县,古建筑,第六批,356,2006,推荐
134,下交汤帝庙,宋至清,宋,960,山西省阳城县,晋城市,阳城县,古建筑,第六批,357,2006,小众
135,普光寺,宋至清,宋,960,山西省寿阳县,晋中市,寿阳县,古建筑,第六批,358,2006,小众
136,金洞寺,宋至清,宋,960,山西省忻州市,忻州市,,古建筑,第六批,359,2006,小众
137,安禅寺,宋至明,宋,960,山西省太谷县,晋中市,太谷县,古建筑,第六批,360,2006,小众
138,无边寺,宋至清,宋,960,山西省太谷县,晋中市,太谷县,古建筑,第六批,361,2006,小众
139,狐突庙,宋至清,宋,960,山西省清徐县,太原市,清徐县,古建筑,第六批,362,2006,小众
140,北义城玉皇庙,宋至清,宋,960,山西省泽州县,晋城市,泽州县,古建筑,第六批,363,2006,推荐
141,周村东岳庙,宋至清,宋,960,山西省泽州县,晋城市,泽州县,古建筑,第六批,364,2006,小众
142,张壁古堡,宋至清,宋,960,山西省介休市,晋中市,介休市,古建筑,第六批,365,2006,推荐
143,佛头寺,宋,宋,960,山西省平顺县,长治市,平顺县,古建筑,第六批,366,2006,小众
144,兴梵寺,宋,宋,960,山西省祁县,晋中市,祁县,古建筑,第六批,367,2006,小众
145,定襄关王庙,宋,宋,960,山西省定襄县,忻州市,定襄县,古建筑,第六批,368,2006,小众
146,妙道寺双塔,宋,宋,960,山西省临猗县,运城市,临猗县,古建筑,第六批,369,2006,小众
147,禅房寺塔,辽,辽,916,山西省大同市,大同市,,古建筑,第六批,370,2006,推荐
148,开福寺,金至明,金,1115,山西省阳城县,晋城市,阳城县,古建筑,第六批,371,2006,小众
149,白台寺,金至清,金,1115,山西省新绛县,运城市,新绛县,古建筑,第六批,372,2006,小众
150,灵泽王庙,金至清,金,1115,山西省襄垣县,长治市,襄垣县,古建筑,第六批,373,2006,小众
151,西李门二仙庙,金至清,金,1115,山西省高平市,晋城市,高平市,古建筑,第六批,374,2006,小众
152,润城东岳庙,金至清,金,1115,山西省阳城县,晋城市,阳城县,古建筑,第六批,375,2006,小众
153,玉泉东岳庙,金至清,金,1115,山西省陵川县,晋城市,陵川县,古建筑,第六批,376,2006,小众
154,石掌玉皇庙,金至清,金,1115,山西省陵川县,晋城市,陵川县,古建筑,第六批,377,2006,推荐
155,东邑龙王庙,金至清,金,1115,山西省潞城市,长治市,潞城市,古建筑,第六批,378,2006,小众
156,乡宁寿圣寺,金至明,金,1115,山西省乡宁县,临汾市,乡宁县,古建筑,第六批,379,2006,小众
157,净因寺,金至明,金,1115,山西省太原市,太原市,,古建筑,第六批,380,2006,小众
158,延庆寺,金至清,金,1115,山西省五台县,忻州市,五台县,古建筑,第六批,381,2006,小众
159,中坪二仙宫,金至清,金,1115,山西省高平市,晋城市,高平市,古建筑,第六批,382,2006,小众
160,三圣寺,金至清,金,1115,山西省繁峙县,忻州市,繁峙县,古建筑,第六批,383,2006,小众
161,汾城古建筑群,金至清,金,1115,山西省襄汾县,临汾市,襄汾县,古建筑,第六批,384,2006,小众
162,福祥寺,金至清,金,1115,山西省榆社县,晋中市,榆社县,古建筑,第六批,385,2006,小众
163,白玉宫,金至清,金,1115,山西省陵川县,晋城市,陵川县,古建筑,第六批,386,2006,小众
164,二郞庙,金至清,金,1115,山西省高平市,晋城市,高平市,古建筑,第六批,387,2006,小众
165,真圣寺,金至清,金,1115,山西省太谷县,晋中市,太谷县,古建筑,第六批,388,2006,小众
166,清源文庙,金至清,金,1115,山西省清徐县,太原市,清徐县,古建筑,第六批,389,2006,小众
167,南神头二仙庙,金至清,金,1115,山西省陵川县,晋城市,陵川县,古建筑,第六批,390,2006,小众
168,寺润三教堂,金,金,1115,山西省陵川县,晋城市,陵川县,古建筑,第六批,391,2006,小众
169,三圣瑞现塔,金,金,1115,山西省陵川县,晋城市,陵川县,古建筑,第六批,392,2006,小众
170,回龙寺,金,金,1115,山西省平顺县,长治市,平顺县,古建筑,第六批,393,2006,小众
171,普照寺大殿,金,金,1115,山西省沁县,长治市,沁县,古建筑,第六批,394,2006,小众
172,昭泽王庙,金,金,1115,山西省襄垣县,长治市,襄垣县,古建筑,第六批,395,2006,小众
173,天王寺,金,金,1115,山西省长子县,长治市,长子县,古建筑,第六批,396,2006,小众
174,不二寺,金,金,1115,山西省阳曲县,太原市,阳曲县,古建筑,第六批,397,2006,小众
175,净土寺,金,金,1115,山西省应县,朔州市,应县,古建筑,第六批,398,2006,小众
176,义居寺,元至清,元,1271,山西省临县,吕梁市,临县,古建筑,第六批,399,2006,小众
177,舜帝陵庙,元至清,元,1271,山西省运城市,运城市,,古建筑,第六批,400,2006,小众
178,崇圣寺,元至清,元,1271,山西省榆社县,晋中市,榆社县,古建筑,第六批,401,2006,小众
179,崇安寺,元至清,元,1271,山西省陵川县,晋城市,陵川县,古建筑,第六批,402,2006,小众
180,东羊后土庙,元至清,元,1271,山西省临汾市,临汾市,,古建筑,第六批,403,2006,小众
181,府君庙,元至清,元,1271,山西省盂县,阳泉市,盂县,古建筑,第六批,404,2006,小众
182,坡头泰山庙,元至清,元,1271,山西省盂县,阳泉市,盂县,古建筑,第六批,405,2006,小众
183,懿济圣母庙,元至清,元,1271,山西省和顺县,晋中市,和顺县,古建筑,第六批,406,2006,小众
184,清虚观,元至清,元,1271,山西省平遥县,晋中市,平遥县,古建筑,第六批,407,2006,小众
185,汾阳五岳庙,元至清,元,1271,山西省汾阳市,吕梁市,汾阳市,古建筑,第六批,408,2006,小众
